X_h	M_min	N_ion	R_mfp
0.77	633.68	67.37	38.01
0.74	550.53	67.37	12.65
0.817	758.42	67.37	8.04
0.861	758.42	48.42	19.57
0.782	467.37	48.42	40.32
0.309	592.11	181.05	40.32
0.724	93.16	20.0	19.57
0.02	93.16	190.53	12.65
0.515	508.95	114.74	31.1
0.0	93.16	152.63	40.32
0.843	384.21	29.47	35.71
0.661	675.26	105.26	40.32
0.884	342.63	20.0	21.87
0.617	259.47	67.37	5.73
0.679	51.58	57.89	1.12
0.64	550.53	152.63	5.73
0.201	301.05	124.21	28.79
0.535	508.95	124.21	12.65
0.0	51.58	133.68	31.1
0.578	675.26	133.68	19.57
0.904	675.26	29.47	38.01
0.455	176.32	181.05	3.43
0.688	342.63	57.89	8.04
0.19	425.79	162.11	35.71
0.271	550.53	200.0	24.18
0.082	259.47	143.16	28.79
0.025	93.16	76.84	33.4
0.277	425.79	143.16	33.4
0.13	259.47	171.58	17.26
0.0	93.16	124.21	33.4
0.381	342.63	105.26	24.18
0.117	134.74	76.84	31.1
0.225	217.89	152.63	10.34
0.005	10.0	29.47	35.71
0.0	10.0	76.84	19.57
0.628	176.32	38.95	19.57
0.0	10.0	162.11	31.1
0.824	716.84	162.11	3.43
0.716	342.63	48.42	31.1
0.003	134.74	133.68	31.1
0.375	508.95	200.0	12.65
0.523	508.95	114.74	21.87
0.001	10.0	29.47	40.32
0.586	592.11	133.68	10.34
0.21	342.63	133.68	31.1
0.031	176.32	133.68	26.48
0.615	51.58	200.0	1.12
0.473	342.63	181.05	5.73
0.748	301.05	38.95	14.96
0.336	384.21	190.53	10.34
0.772	342.63	38.95	31.1
0.91	301.05	152.63	1.12
0.011	93.16	76.84	40.32
0.809	425.79	38.95	21.87
0.0	10.0	190.53	14.96
0.894	384.21	20.0	21.87
0.942	758.42	20.0	33.4
0.003	134.74	143.16	28.79
0.152	425.79	181.05	31.1
0.195	342.63	181.05	17.26
0.748	301.05	38.95	24.18
0.281	176.32	76.84	21.87
0.059	259.47	162.11	26.48
0.401	259.47	86.32	17.26
0.422	342.63	95.79	35.71
0.015	134.74	105.26	33.4
0.0	93.16	200.0	33.4
0.807	758.42	67.37	21.87
0.565	716.84	143.16	26.48
0.194	467.37	171.58	40.32
0.001	93.16	171.58	21.87
0.646	342.63	162.11	3.43
0.442	301.05	105.26	10.34
0.032	51.58	57.89	26.48
0.502	716.84	162.11	33.4
0.971	758.42	190.53	1.12
0.028	259.47	190.53	26.48
0.911	217.89	20.0	1.12
0.724	93.16	20.0	40.32
0.889	217.89	48.42	1.12
0.663	550.53	86.32	21.87
0.427	217.89	67.37	35.71
0.446	176.32	57.89	19.57
0.802	633.68	57.89	24.18
0.74	467.37	57.89	14.96
0.679	217.89	38.95	33.4
0.199	259.47	105.26	35.71
0.156	217.89	95.79	40.32
0.48	384.21	95.79	35.71
0.004	134.74	190.53	21.87
0.445	425.79	133.68	12.65
0.91	633.68	29.47	3.43
0.706	550.53	86.32	8.04
0.0	10.0	86.32	21.87
0.0	51.58	181.05	38.01
0.486	758.42	181.05	24.18
0.418	301.05	200.0	5.73
0.637	800.0	133.68	38.01
0.0	10.0	143.16	35.71
0.178	51.58	57.89	10.34
0.557	259.47	86.32	5.73
0.522	467.37	105.26	26.48
0.894	384.21	20.0	26.48
0.378	217.89	76.84	19.57
0.824	467.37	38.95	38.01
0.602	508.95	124.21	8.04
0.855	425.79	29.47	28.79
0.817	800.0	67.37	40.32
0.027	217.89	200.0	21.87
0.793	384.21	38.95	21.87
0.441	259.47	76.84	21.87
0.136	467.37	200.0	33.4
0.606	93.16	29.47	8.04
0.809	301.05	29.47	21.87
0.349	592.11	200.0	19.57
0.045	176.32	181.05	17.26
0.506	633.68	171.58	12.65
0.972	716.84	38.95	1.12
0.593	716.84	133.68	28.79
0.192	93.16	143.16	5.73
0.624	301.05	57.89	21.87
0.738	800.0	152.63	5.73
0.666	134.74	29.47	33.4
0.806	384.21	48.42	3.43
0.423	425.79	114.74	33.4
0.435	550.53	143.16	28.79
0.362	633.68	181.05	35.71
0.846	508.95	48.42	3.43
0.837	508.95	38.95	35.71
0.248	467.37	200.0	19.57
0.782	467.37	48.42	26.48
0.465	217.89	67.37	14.96
0.6	716.84	200.0	8.04
0.525	425.79	95.79	35.71
0.564	758.42	152.63	24.18
0.898	633.68	29.47	35.71
0.707	550.53	76.84	12.65
0.0	10.0	48.42	26.48
0.295	550.53	190.53	24.18
0.623	51.58	20.0	38.01
0.784	633.68	67.37	8.04
0.0	93.16	143.16	28.79
0.817	800.0	67.37	33.4
0.685	592.11	86.32	38.01
0.883	758.42	57.89	3.43
0.788	800.0	86.32	8.04
0.853	800.0	124.21	3.43
0.381	550.53	152.63	40.32
0.332	259.47	162.11	8.04
0.665	93.16	29.47	3.43
0.762	508.95	67.37	5.73
0.625	301.05	57.89	19.57
0.78	758.42	76.84	21.87
0.585	800.0	152.63	33.4
0.641	508.95	105.26	8.04
0.622	550.53	171.58	5.73
0.721	176.32	29.47	14.96
0.118	301.05	133.68	38.01
0.176	301.05	133.68	26.48
0.694	508.95	76.84	10.34
0.77	633.68	67.37	14.96
0.022	51.58	143.16	10.34
0.081	93.16	67.37	28.79
0.807	675.26	190.53	3.43
0.021	93.16	152.63	14.96
0.77	633.68	67.37	17.26
0.837	217.89	20.0	14.96
0.758	217.89	29.47	21.87
0.894	384.21	20.0	19.57
0.881	716.84	38.95	21.87
0.495	301.05	76.84	26.48
0.093	217.89	152.63	19.57
0.566	467.37	95.79	28.79
0.939	716.84	20.0	17.26
0.559	800.0	162.11	28.79
0.414	467.37	162.11	12.65
0.814	675.26	57.89	14.96
0.945	800.0	20.0	5.73
0.275	467.37	152.63	40.32
0.351	217.89	124.21	8.04
0.367	301.05	105.26	17.26
0.236	384.21	181.05	17.26
0.181	134.74	76.84	21.87
0.059	259.47	171.58	24.18
0.615	592.11	105.26	28.79
0.669	508.95	114.74	5.73
0.825	800.0	76.84	5.73
0.172	301.05	171.58	17.26
0.0	10.0	124.21	28.79
0.824	467.37	38.95	35.71
0.006	93.16	114.74	24.18
0.261	550.53	181.05	40.32
0.681	716.84	133.68	8.04
0.532	176.32	48.42	28.79
0.767	716.84	76.84	35.71
0.555	342.63	76.84	17.26
0.316	550.53	200.0	19.57
0.576	259.47	57.89	35.71
0.586	342.63	76.84	10.34
0.464	342.63	190.53	5.73
0.828	342.63	29.47	33.4
0.884	342.63	20.0	31.1
0.158	425.79	190.53	26.48
0.763	675.26	95.79	5.73
0.165	301.05	152.63	21.87
0.689	800.0	114.74	40.32
0.839	217.89	20.0	5.73
0.0	51.58	152.63	33.4
0.502	259.47	67.37	38.01
0.422	425.79	114.74	35.71
0.669	675.26	105.26	14.96
0.094	93.16	124.21	10.34
0.286	217.89	95.79	17.26
0.767	716.84	76.84	33.4
0.62	51.58	171.58	1.12
0.346	134.74	57.89	19.57
0.288	51.58	57.89	5.73
0.557	716.84	152.63	17.26
0.684	508.95	105.26	5.73
0.0	93.16	152.63	28.79
0.919	800.0	29.47	26.48
0.727	508.95	67.37	10.34
0.794	134.74	20.0	3.43
0.916	508.95	20.0	21.87
0.634	301.05	133.68	3.43
0.677	134.74	29.47	8.04
0.473	550.53	162.11	12.65
0.643	675.26	114.74	14.96
0.63	675.26	114.74	28.79
0.834	633.68	48.42	24.18
0.679	217.89	38.95	28.79
0.0	134.74	152.63	31.1
0.858	800.0	57.89	5.73
0.533	758.42	162.11	31.1
0.0	10.0	76.84	24.18
0.002	134.74	181.05	24.18
0.312	134.74	57.89	28.79
0.028	134.74	143.16	19.57
0.031	217.89	133.68	35.71
0.543	800.0	171.58	21.87
0.797	508.95	48.42	28.79
0.784	467.37	48.42	10.34
0.13	467.37	190.53	40.32
0.837	508.95	38.95	21.87
0.306	259.47	181.05	8.04
0.581	425.79	95.79	10.34
0.333	176.32	67.37	28.79
0.0	10.0	171.58	26.48
0.78	758.42	76.84	31.1
0.104	134.74	162.11	10.34
0.723	675.26	86.32	40.32
0.971	716.84	57.89	1.12
0.249	176.32	114.74	10.34
0.157	134.74	76.84	24.18
0.0	10.0	95.79	31.1
0.577	259.47	57.89	21.87
0.334	633.68	190.53	33.4
0.157	425.79	171.58	35.71
0.539	633.68	133.68	40.32
0.269	550.53	190.53	28.79
0.372	425.79	124.21	33.4
0.379	508.95	143.16	38.01
0.652	342.63	76.84	5.73
0.706	800.0	200.0	5.73
0.295	176.32	76.84	19.57
0.686	592.11	86.32	19.57
0.323	134.74	86.32	8.04
0.874	675.26	38.95	14.96
0.815	176.32	20.0	5.73
0.72	633.68	86.32	10.34
0.423	259.47	76.84	40.32
0.598	217.89	48.42	31.1
0.0	93.16	190.53	40.32
0.429	467.37	143.16	14.96
0.421	633.68	171.58	24.18
0.568	675.26	133.68	33.4
0.728	716.84	105.26	8.04
0.127	301.05	200.0	17.26
0.515	467.37	114.74	14.96
0.927	592.11	20.0	26.48
0.758	217.89	29.47	35.71
0.694	675.26	95.79	17.26
0.622	425.79	76.84	24.18
0.0	10.0	38.95	40.32
0.809	301.05	29.47	38.01
0.675	550.53	124.21	5.73
0.742	384.21	48.42	31.1
0.882	716.84	38.95	8.04
0.939	716.84	20.0	12.65
0.256	550.53	200.0	26.48
0.355	217.89	171.58	5.73
0.153	301.05	124.21	40.32
0.844	384.21	29.47	8.04
0.922	550.53	20.0	33.4
0.0	10.0	152.63	21.87
0.474	425.79	105.26	38.01
0.722	592.11	76.84	14.96
0.403	592.11	162.11	28.79
0.525	425.79	95.79	31.1
0.459	800.0	200.0	26.48
0.012	176.32	124.21	38.01
0.579	800.0	162.11	17.26
0.892	592.11	29.47	24.18
0.598	217.89	48.42	21.87
0.386	550.53	152.63	35.71
0.234	217.89	86.32	40.32
0.286	384.21	171.58	14.96
0.55	550.53	114.74	26.48
0.648	259.47	48.42	24.18
0.418	134.74	143.16	3.43
0.066	301.05	171.58	28.79
0.0	51.58	105.26	31.1
0.51	592.11	133.68	26.48
0.237	425.79	200.0	17.26
0.06	342.63	171.58	38.01
0.292	592.11	190.53	33.4
0.927	592.11	20.0	33.4
0.973	758.42	76.84	1.12
0.783	508.95	95.79	3.43
0.516	134.74	48.42	8.04
0.452	508.95	133.68	21.87
0.373	508.95	162.11	19.57
0.214	301.05	114.74	38.01
0.364	301.05	95.79	28.79
0.719	800.0	105.26	14.96
0.537	800.0	171.58	24.18
0.843	800.0	57.89	38.01
0.648	259.47	48.42	19.57
0.082	93.16	133.68	10.34
0.103	176.32	133.68	17.26
0.7	550.53	76.84	26.48
0.56	675.26	171.58	10.34
0.506	758.42	171.58	28.79
0.278	384.21	162.11	17.26
0.468	675.26	162.11	40.32
0.446	301.05	124.21	8.04
0.0	10.0	105.26	14.96
0.171	259.47	190.53	12.65
0.034	134.74	124.21	21.87
0.292	467.37	171.58	21.87
0.72	592.11	76.84	28.79
0.366	342.63	124.21	14.96
0.005	217.89	162.11	38.01
0.69	134.74	29.47	5.73
0.069	259.47	143.16	31.1
0.924	259.47	20.0	1.12
0.043	10.0	152.63	3.43
0.72	592.11	76.84	40.32
0.966	633.68	57.89	1.12
0.531	425.79	95.79	21.87
0.236	301.05	143.16	17.26
0.268	508.95	181.05	26.48
0.21	259.47	133.68	17.26
0.257	176.32	143.16	8.04
0.818	134.74	76.84	1.12
0.034	10.0	181.05	3.43
0.692	342.63	105.26	3.43
0.721	176.32	29.47	26.48
0.606	633.68	114.74	40.32
0.395	342.63	124.21	12.65
0.717	425.79	57.89	19.57
0.847	550.53	38.95	35.71
0.726	758.42	95.79	40.32
0.718	508.95	67.37	21.87
0.627	716.84	124.21	19.57
0.0	51.58	124.21	26.48
0.502	758.42	171.58	40.32
0.919	800.0	29.47	38.01
0.474	550.53	181.05	10.34
0.724	93.16	20.0	24.18
0.942	758.42	20.0	8.04
0.919	800.0	29.47	31.1
0.402	716.84	190.53	40.32
0.605	508.95	95.79	17.26
0.517	633.68	143.16	21.87
0.892	758.42	38.95	5.73
0.398	592.11	200.0	14.96
0.271	217.89	114.74	12.65
0.796	716.84	67.37	19.57
0.253	508.95	171.58	38.01
0.022	176.32	143.16	26.48
0.629	342.63	200.0	3.43
0.742	758.42	133.68	5.73
0.741	800.0	95.79	19.57
0.368	384.21	114.74	33.4
0.861	758.42	48.42	40.32
0.13	301.05	143.16	28.79
0.291	342.63	114.74	38.01
0.843	800.0	57.89	21.87
0.139	176.32	86.32	35.71
0.866	633.68	38.95	10.34
0.139	93.16	200.0	5.73
0.465	508.95	152.63	12.65
0.587	800.0	152.63	24.18
0.974	800.0	124.21	1.12
0.797	508.95	48.42	17.26
0.345	467.37	200.0	12.65
0.758	508.95	57.89	26.48
0.838	592.11	67.37	3.43
0.493	301.05	76.84	35.71
0.0	10.0	133.68	24.18
0.518	217.89	57.89	21.87
0.016	10.0	114.74	5.73
0.145	301.05	143.16	26.48
0.824	716.84	57.89	19.57
0.457	259.47	133.68	5.73
0.312	176.32	76.84	17.26
0.587	550.53	114.74	12.65
0.605	550.53	190.53	5.73
0.0	93.16	181.05	26.48
0.812	176.32	20.0	38.01
0.125	217.89	105.26	33.4
0.44	716.84	181.05	33.4
0.893	800.0	38.95	17.26
0.45	342.63	95.79	19.57
0.812	176.32	20.0	21.87
0.91	467.37	20.0	26.48
0.368	176.32	124.21	5.73
0.625	51.58	152.63	1.12
0.77	633.68	67.37	19.57
0.915	758.42	29.47	33.4
0.429	134.74	133.68	3.43
0.922	550.53	20.0	5.73
0.532	758.42	162.11	33.4
0.194	176.32	190.53	8.04
0.0	93.16	190.53	38.01
0.881	716.84	38.95	31.1
0.0	10.0	57.89	38.01
0.538	508.95	162.11	8.04
0.109	301.05	133.68	40.32
0.942	758.42	20.0	17.26
0.0	51.58	114.74	31.1
0.0	176.32	162.11	40.32
0.715	800.0	105.26	24.18
0.939	716.84	20.0	33.4
0.425	425.79	114.74	31.1
0.079	217.89	124.21	28.79
0.856	176.32	76.84	1.12
0.239	176.32	95.79	14.96
0.0	176.32	190.53	33.4
0.515	592.11	171.58	10.34
0.64	384.21	67.37	33.4
0.749	93.16	114.74	1.12
0.473	342.63	95.79	14.96
0.718	508.95	67.37	26.48
0.912	301.05	105.26	1.12
0.344	217.89	181.05	5.73
0.894	384.21	20.0	40.32
0.945	800.0	20.0	21.87
0.715	342.63	86.32	3.43
0.494	301.05	76.84	28.79
0.842	716.84	57.89	5.73
0.032	342.63	190.53	38.01
0.011	176.32	162.11	26.48
0.625	550.53	95.79	24.18
0.524	217.89	57.89	17.26
0.084	93.16	76.84	21.87
0.719	508.95	67.37	17.26
0.0	10.0	171.58	40.32
0.361	342.63	105.26	33.4
0.552	633.68	133.68	19.57
0.883	592.11	38.95	3.43
0.857	592.11	38.95	38.01
0.266	259.47	124.21	14.96
0.594	716.84	133.68	26.48
0.91	716.84	29.47	14.96
0.0	51.58	105.26	28.79
0.824	716.84	57.89	28.79
0.298	134.74	57.89	35.71
0.57	716.84	143.16	21.87
0.313	550.53	171.58	33.4
0.558	425.79	162.11	5.73
0.772	342.63	38.95	24.18
0.823	716.84	67.37	5.73
0.749	675.26	105.26	5.73
0.549	425.79	124.21	8.04
0.001	10.0	171.58	8.04
0.945	800.0	20.0	31.1
0.218	176.32	76.84	35.71
0.0	10.0	95.79	28.79
0.454	716.84	200.0	17.26
0.571	633.68	190.53	8.04
0.696	467.37	67.37	31.1
0.809	425.79	38.95	14.96
0.638	675.26	152.63	8.04
0.931	633.68	20.0	5.73
0.91	467.37	20.0	14.96
0.884	342.63	20.0	28.79
0.27	51.58	38.95	17.26
0.884	342.63	20.0	38.01
0.922	550.53	20.0	14.96
0.726	758.42	95.79	24.18
0.859	425.79	29.47	5.73
0.288	342.63	124.21	24.18
0.318	467.37	152.63	26.48
0.003	51.58	200.0	12.65
0.221	384.21	143.16	33.4
0.06	51.58	57.89	21.87
0.45	467.37	162.11	10.34
0.0	10.0	48.42	24.18
0.648	259.47	48.42	21.87
0.235	10.0	38.95	3.43
0.627	51.58	143.16	1.12
0.007	217.89	181.05	31.1
0.423	716.84	200.0	21.87
0.91	716.84	29.47	21.87
0.775	592.11	200.0	3.43
0.754	675.26	76.84	14.96
0.008	93.16	143.16	19.57
0.055	301.05	171.58	31.1
0.0	10.0	76.84	31.1
0.159	259.47	200.0	12.65
0.602	301.05	181.05	3.43
0.521	800.0	200.0	14.96
0.739	716.84	86.32	17.26
0.844	675.26	48.42	28.79
0.025	217.89	143.16	33.4
0.084	176.32	95.79	35.71
0.881	675.26	48.42	3.43
0.955	508.95	57.89	1.12
0.741	508.95	181.05	3.43
0.617	342.63	67.37	12.65
0.126	10.0	67.37	3.43
0.437	633.68	162.11	31.1
0.639	508.95	86.32	21.87
0.862	176.32	57.89	1.12
0.607	550.53	133.68	8.04
0.876	508.95	29.47	40.32
0.811	800.0	86.32	5.73
0.387	508.95	152.63	21.87
0.109	134.74	114.74	14.96
0.021	93.16	105.26	21.87
0.288	508.95	162.11	40.32
0.191	301.05	162.11	17.26
0.728	384.21	95.79	3.43
0.678	508.95	76.84	31.1
0.003	51.58	95.79	21.87
0.742	384.21	48.42	17.26
0.812	176.32	20.0	40.32
0.458	301.05	86.32	17.26
0.894	384.21	20.0	33.4
0.65	592.11	95.79	26.48
0.0	10.0	114.74	21.87
0.309	301.05	114.74	19.57
0.793	384.21	38.95	31.1
0.38	301.05	114.74	12.65
0.685	592.11	86.32	31.1
0.198	134.74	76.84	19.57
0.724	93.16	20.0	28.79
0.663	550.53	86.32	38.01
0.531	301.05	114.74	5.73
0.838	633.68	76.84	3.43
0.006	51.58	133.68	14.96
0.942	758.42	20.0	24.18
0.615	592.11	105.26	38.01
0.0	10.0	143.16	10.34
0.36	467.37	190.53	12.65
0.63	508.95	143.16	5.73
0.009	134.74	124.21	28.79
0.426	508.95	133.68	35.71
0.008	134.74	133.68	26.48
0.515	550.53	124.21	24.18
0.622	425.79	76.84	35.71
0.094	134.74	171.58	10.34
0.328	176.32	67.37	31.1
0.753	758.42	86.32	40.32
0.717	342.63	48.42	19.57
0.0	10.0	190.53	19.57
0.049	176.32	105.26	35.71
0.342	51.58	48.42	5.73
0.172	301.05	190.53	14.96
0.834	633.68	48.42	40.32
0.718	259.47	38.95	35.71
0.649	259.47	48.42	17.26
0.91	716.84	29.47	10.34
0.736	176.32	29.47	5.73
0.974	800.0	105.26	1.12
0.588	633.68	143.16	10.34
0.68	716.84	190.53	5.73
0.945	425.79	48.42	1.12
0.051	342.63	171.58	40.32
0.055	134.74	181.05	12.65
0.0	176.32	200.0	31.1
0.092	51.58	105.26	8.04
0.0	10.0	57.89	26.48
0.017	10.0	76.84	8.04
0.311	301.05	105.26	26.48
0.349	508.95	152.63	31.1
0.737	550.53	67.37	31.1
0.093	259.47	124.21	38.01
0.154	176.32	105.26	19.57
0.809	301.05	29.47	24.18
0.666	134.74	29.47	17.26
0.972	758.42	105.26	1.12
0.018	93.16	200.0	12.65
0.87	758.42	48.42	5.73
0.847	550.53	38.95	26.48
0.605	342.63	67.37	19.57
0.628	259.47	105.26	3.43
0.598	508.95	95.79	28.79
0.674	633.68	95.79	19.57
0.963	592.11	48.42	1.12
0.787	342.63	38.95	5.73
0.421	51.58	29.47	38.01
0.967	675.26	105.26	1.12
0.618	51.58	181.05	1.12
0.679	217.89	38.95	24.18
0.567	384.21	86.32	12.65
0.903	425.79	20.0	5.73
0.31	10.0	20.0	10.34
0.021	217.89	162.11	28.79
0.909	301.05	200.0	1.12
0.37	342.63	105.26	28.79
0.549	550.53	114.74	38.01
0.845	508.95	38.95	5.73
0.591	259.47	57.89	12.65
0.931	633.68	20.0	26.48
0.67	425.79	67.37	21.87
0.617	758.42	133.68	31.1
0.7	550.53	76.84	33.4
0.0	10.0	171.58	38.01
0.775	550.53	133.68	3.43
0.501	633.68	162.11	14.96
0.837	217.89	20.0	40.32
0.739	467.37	57.89	24.18
0.847	675.26	48.42	8.04
0.115	217.89	105.26	35.71
0.468	592.11	143.16	35.71
0.002	10.0	95.79	10.34
0.469	633.68	152.63	35.71
0.089	217.89	171.58	17.26
0.612	800.0	143.16	26.48
0.286	633.68	200.0	40.32
0.227	51.58	38.95	24.18
0.302	10.0	190.53	1.12
0.904	675.26	29.47	26.48
0.647	633.68	133.68	8.04
0.899	633.68	29.47	8.04
0.953	508.95	105.26	1.12
0.415	508.95	162.11	14.96
0.896	176.32	20.0	1.12
0.685	592.11	86.32	40.32
0.558	800.0	162.11	35.71
0.551	550.53	114.74	24.18
0.733	758.42	143.16	5.73
0.752	384.21	76.84	3.43
0.187	425.79	200.0	21.87
0.152	217.89	171.58	12.65
0.0	134.74	181.05	40.32
0.426	508.95	171.58	12.65
0.894	800.0	38.95	8.04
0.603	217.89	48.42	14.96
0.724	93.16	20.0	21.87
0.06	51.58	133.68	8.04
0.0	93.16	190.53	33.4
0.652	592.11	105.26	10.34
0.406	508.95	143.16	24.18
0.738	633.68	86.32	8.04
0.797	508.95	48.42	38.01
0.425	259.47	76.84	35.71
0.08	134.74	76.84	40.32
0.904	675.26	29.47	24.18
0.433	134.74	48.42	28.79
0.564	550.53	114.74	17.26
0.666	550.53	86.32	17.26
0.467	592.11	143.16	40.32
0.0	51.58	143.16	26.48
0.057	217.89	124.21	33.4
0.956	550.53	200.0	1.12
0.394	675.26	200.0	21.87
0.01	217.89	171.58	31.1
0.43	342.63	95.79	26.48
0.848	550.53	38.95	10.34
0.792	800.0	76.84	38.01
0.681	592.11	105.26	8.04
0.513	425.79	143.16	8.04
0.793	384.21	38.95	17.26
0.631	550.53	162.11	5.73
0.763	425.79	48.42	33.4
0.604	800.0	181.05	10.34
0.295	259.47	143.16	10.34
0.429	51.58	29.47	19.57
0.598	550.53	200.0	5.73
0.252	259.47	143.16	12.65
0.0	10.0	86.32	40.32
0.0	10.0	124.21	38.01
0.868	800.0	48.42	38.01
0.108	217.89	124.21	24.18
0.787	259.47	29.47	28.79
0.254	384.21	143.16	26.48
0.019	134.74	181.05	17.26
0.586	800.0	152.63	26.48
0.279	550.53	181.05	33.4
0.866	633.68	38.95	33.4
0.615	592.11	105.26	40.32
0.927	592.11	20.0	8.04
0.01	51.58	143.16	12.65
0.318	425.79	133.68	35.71
0.939	716.84	20.0	31.1
0.002	93.16	162.11	21.87
0.641	301.05	57.89	10.34
0.561	633.68	200.0	8.04
0.337	217.89	76.84	33.4
0.837	592.11	48.42	5.73
0.719	259.47	38.95	12.65
0.507	592.11	133.68	33.4
0.492	550.53	143.16	14.96
0.61	675.26	124.21	17.26
0.301	134.74	67.37	14.96
0.006	10.0	181.05	5.73
0.625	550.53	95.79	26.48
0.767	800.0	86.32	17.26
0.758	508.95	57.89	19.57
0.333	93.16	76.84	5.73
0.518	592.11	133.68	21.87
0.607	384.21	76.84	12.65
0.96	592.11	162.11	1.12
0.642	508.95	133.68	5.73
0.586	93.16	29.47	14.96
0.505	758.42	181.05	19.57
0.693	716.84	105.26	12.65
0.506	675.26	171.58	14.96
0.0	10.0	190.53	17.26
0.651	800.0	133.68	14.96
0.0	134.74	171.58	33.4
0.88	217.89	86.32	1.12
0.896	675.26	38.95	3.43
0.245	342.63	171.58	14.96
0.715	800.0	105.26	31.1
0.02	10.0	105.26	5.73
0.768	716.84	76.84	14.96
0.724	93.16	20.0	10.34
0.65	592.11	95.79	24.18
0.194	259.47	152.63	14.96
0.622	716.84	124.21	28.79
0.109	217.89	114.74	28.79
0.514	342.63	95.79	10.34
0.902	716.84	38.95	3.43
0.52	550.53	124.21	21.87
0.116	217.89	171.58	14.96
0.079	217.89	162.11	19.57
0.479	508.95	162.11	10.34
0.753	758.42	86.32	21.87
0.716	425.79	57.89	24.18
0.748	301.05	38.95	33.4
0.001	51.58	67.37	35.71
0.686	301.05	48.42	26.48
0.066	217.89	114.74	38.01
0.7	550.53	76.84	31.1
0.0	10.0	133.68	35.71
0.132	134.74	105.26	14.96
0.129	384.21	162.11	38.01
0.359	592.11	171.58	33.4
0.802	633.68	57.89	14.96
0.893	217.89	38.95	1.12
0.307	592.11	200.0	24.18
0.876	508.95	29.47	35.71
0.604	342.63	67.37	21.87
0.969	675.26	48.42	1.12
0.54	633.68	133.68	28.79
0.623	51.58	20.0	28.79
0.375	259.47	200.0	5.73
0.782	467.37	48.42	14.96
0.652	716.84	114.74	24.18
0.834	758.42	57.89	21.87
0.408	134.74	152.63	3.43
0.256	508.95	181.05	28.79
0.689	800.0	114.74	33.4
0.729	758.42	95.79	14.96
0.0	10.0	162.11	19.57
0.002	217.89	171.58	38.01
0.866	176.32	48.42	1.12
0.581	425.79	143.16	5.73
0.106	259.47	133.68	28.79
0.036	259.47	171.58	28.79
0.371	508.95	152.63	24.18
0.005	10.0	190.53	5.73
0.935	675.26	20.0	8.04
0.171	217.89	95.79	35.71
0.386	633.68	190.53	21.87
0.553	134.74	67.37	3.43
0.909	301.05	181.05	1.12
0.0	10.0	114.74	19.57
0.536	384.21	86.32	28.79
0.584	93.16	29.47	31.1
0.527	467.37	152.63	8.04
0.857	592.11	38.95	33.4
0.418	467.37	181.05	10.34
0.378	592.11	171.58	26.48
0.922	342.63	143.16	1.12
0.003	176.32	133.68	40.32
0.78	758.42	76.84	17.26
0.837	508.95	38.95	10.34
0.006	10.0	171.58	5.73
0.471	508.95	124.21	35.71
0.639	633.68	105.26	38.01
0.033	51.58	86.32	14.96
0.237	217.89	114.74	14.96
0.523	467.37	105.26	24.18
0.505	716.84	162.11	28.79
0.339	384.21	133.68	19.57
0.854	758.42	95.79	3.43
0.968	675.26	76.84	1.12
0.343	675.26	200.0	33.4
0.0	10.0	200.0	35.71
0.74	508.95	76.84	5.73
0.502	758.42	171.58	38.01
0.076	134.74	133.68	14.96
0.0	93.16	152.63	26.48
0.007	93.16	171.58	17.26
0.012	259.47	171.58	38.01
0.045	134.74	162.11	14.96
0.0	51.58	105.26	35.71
0.729	467.37	152.63	3.43
0.922	550.53	20.0	17.26
0.086	342.63	181.05	28.79
0.06	259.47	190.53	21.87
0.796	716.84	67.37	21.87
0.266	134.74	86.32	10.34
0.014	93.16	143.16	17.26
0.0	51.58	190.53	21.87
0.374	675.26	190.53	33.4
0.499	342.63	86.32	19.57
0.742	384.21	48.42	21.87
0.881	716.84	38.95	24.18
0.798	301.05	38.95	3.43
0.666	134.74	29.47	31.1
0.336	425.79	133.68	28.79
0.265	51.58	105.26	3.43
0.366	675.26	200.0	26.48
0.0	10.0	114.74	28.79
0.63	675.26	114.74	33.4
0.653	467.37	76.84	24.18
0.402	592.11	171.58	21.87
0.832	134.74	48.42	1.12
0.504	675.26	152.63	33.4
0.566	716.84	143.16	24.18
0.237	93.16	57.89	17.26
0.51	550.53	124.21	31.1
0.583	550.53	124.21	10.34
0.674	758.42	114.74	19.57
0.525	425.79	114.74	10.34
0.241	467.37	181.05	24.18
0.574	633.68	124.21	28.79
0.397	259.47	95.79	12.65
0.911	301.05	133.68	1.12
0.007	51.58	95.79	19.57
0.0	134.74	190.53	28.79
0.763	425.79	48.42	24.18
0.846	176.32	152.63	1.12
0.436	675.26	171.58	35.71
0.931	633.68	20.0	28.79
0.758	217.89	29.47	40.32
0.04	217.89	143.16	28.79
0.849	758.42	105.26	3.43
0.0	93.16	105.26	38.01
0.331	508.95	152.63	40.32
0.04	10.0	76.84	5.73
0.507	342.63	152.63	5.73
0.637	176.32	38.95	10.34
0.271	592.11	200.0	31.1
0.753	675.26	76.84	21.87
0.776	592.11	190.53	3.43
0.807	758.42	67.37	26.48
0.572	800.0	171.58	14.96
0.482	384.21	143.16	8.04
0.211	301.05	143.16	19.57
0.573	633.68	124.21	35.71
0.358	508.95	162.11	21.87
0.957	550.53	95.79	1.12
0.317	425.79	162.11	17.26
0.429	259.47	76.84	28.79
0.96	592.11	200.0	1.12
